"Boekuwzending Admin Order Status","Status"
"Boekuwzending Shipping Module","Boekuwzending"
"Client ID","Client ID"
"Client Secret","Client Secret"
"Create new order","Maak nieuwe order"
"Create order","Meld order aan"
"Enabled for Checkout","Toon verzendmethode in checkout"
"Error creating order","Fout bij aanmaken order"
"Forward Order on Status Change to","Order Doorsturen bij Statuswijziging naar"
"Method Name","Methodenaam"
"Order not known at Boekuwzending.","Order niet bekend bij Boekuwzending."
"Order with id ""%1"" does not exist.","Order met id ""%1"" bestaat niet."
"Orders at Boekuwzending:","Orders bij Boekuwzending:"
"Ship to Applicable Countries","Verzenden naar Toegestane Landen"
"Ship to Specific Countries","Verzenden naar Specifieke Landen"
"Shipping Cost Without Matrix","Verzendkosten zonder matrix"
"Show Method if Not Applicable","Verzendmethode tonen indien niet van toepassing"
"Sort Order","Sorteervolgorde"
"Test Mode","Testmodus"
"View order details in Boekuwzending Admin","Bekijk orderdetails in Boekuwzending Admin"
Boekuwzending,Boekuwzending
Title,Titel
